time/total_timesteps,train/n_updates,train/entropy_loss,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/policy_loss
500,115099,-0.3115019202232361,8.10135024948977e-05,1322,239.0,0.676008403301239,0,100,239.0,0.001,0.003806464374065399
1000,115199,-0.14831340312957764,0.00034341137506999075,1344,276.3333333333333,0.6375695466995239,0,200,276.3333333333333,0.001,-0.0004748708161059767
500,115299,-0.2777082324028015,0.5921115875244141,1349,259.0,0.696104884147644,0,100,259.0,0.001,-0.1659647673368454
1000,115399,-0.4540857672691345,1.557659197715111e-05,1340,321.0,-4.677896499633789,0,200,321.0,0.001,-0.001735807047225535
500,115499,-0.25185590982437134,9.543662599753588e-05,1367,500.0,-35.0835075378418,0,100,500.0,0.001,0.0030812215991318226
1000,115599,-0.22953543066978455,0.000260168599197641,1354,482.0,-143.68084716796875,0,200,482.0,0.001,0.0014887150609865785
500,115699,-0.2133706510066986,0.0032048323191702366,1317,363.0,-8.127241134643555,0,100,363.0,0.001,0.0019071856513619423
1000,115799,-0.1490955799818039,0.0009783951099961996,1335,305.6666666666667,-5.678132057189941,0,200,305.6666666666667,0.001,-0.0020167347975075245
500,115899,-0.409003347158432,0.0007203787099570036,1307,274.0,-6.405487060546875,0,100,274.0,0.001,-0.008623595349490643
1000,115999,-0.27635765075683594,6.268012657528743e-05,1306,279.0,0.5073437690734863,0,200,279.0,0.001,-0.001448960741981864
500,116099,-0.2229364663362503,0.00041059948853217065,1328,305.0,0.9503956437110901,0,100,305.0,0.001,0.0003177567559760064
1000,116199,-0.05567629262804985,0.00036539341090247035,1289,317.0,0.846408486366272,0,200,317.0,0.001,0.00017164631572086364
500,116299,-0.1497756540775299,0.0002571154327597469,1265,341.0,-46.63528823852539,0,100,341.0,0.001,0.0008201961172744632
1000,116399,-0.2422935664653778,0.0002798502682708204,1255,420.5,0.38683634996414185,0,200,420.5,0.001,0.002583725843578577
500,116499,-0.18143321573734283,3.5602344723884016e-05,1285,342.0,0.009563267230987549,0,100,342.0,0.001,0.0001610401668585837
1000,116599,-0.14412109553813934,4.941945735481568e-05,1290,377.5,0.8829770088195801,0,200,377.5,0.001,0.00013932291767559946
500,116699,-0.20491711795330048,0.00028328411281108856,1249,326.0,-3.1264309883117676,0,100,326.0,0.001,-0.002470084000378847
1000,116799,-0.21160709857940674,0.0004577328509185463,1249,361.0,0.8976966142654419,0,200,361.0,0.001,0.0020625791512429714
500,116899,-0.17877009510993958,0.00011809149145847186,1273,307.0,0.3531608581542969,0,100,307.0,0.001,-0.0023160376586019993
1000,116999,-0.15758316218852997,0.0006090084207244217,1273,325.0,-5.454192161560059,0,200,325.0,0.001,-0.0042512258514761925
500,117099,-0.264515221118927,3.9802795072318986e-05,1241,383.0,-1.455770492553711,0,100,383.0,0.001,0.000766255718190223
1000,117199,-0.277820348739624,8.022936526685953e-06,1258,361.5,0.871299684047699,0,200,361.5,0.001,0.001039002789184451
500,117299,-0.011847552843391895,0.0002814677427522838,1263,330.0,-1.952843189239502,0,100,330.0,0.001,0.009359757415950298
1000,117399,-0.13756634294986725,8.250136306742206e-05,1252,310.0,-4.985604763031006,0,200,310.0,0.001,-7.955663022585213e-05
500,117499,-0.1936074197292328,4.8347061238018796e-05,1287,261.0,0.985104501247406,0,100,261.0,0.001,0.0002660909085534513
1000,117599,-0.20673330128192902,0.00011963646102230996,1298,276.3333333333333,-0.27053070068359375,0,200,276.3333333333333,0.001,-0.003170682117342949
500,117699,-0.17702196538448334,3.975195431848988e-05,1281,254.0,0.9826209545135498,0,100,254.0,0.001,0.00017197338456753641
1000,117799,-0.26672977209091187,0.0002327983092982322,1290,267.3333333333333,0.4309691786766052,0,200,267.3333333333333,0.001,-0.0026455451734364033
500,117899,-0.1810629516839981,7357.24853515625,1273,247.0,0.030680716037750244,0,100,247.0,0.001,-6.4020586013793945
1000,117999,-0.10163624584674835,0.005186059977859259,1272,245.5,-27.4083251953125,0,200,245.5,0.001,0.0024713308084756136
500,118099,-0.06262296438217163,0.00015241661458276212,1294,243.0,-7.363577842712402,0,100,243.0,0.001,1.3836116522725206e-05
1000,118199,-0.0110554788261652,0.0006142205675132573,1312,235.75,-1.453063726425171,0,200,235.75,0.001,2.1111951355123892e-05
500,118299,-0.1906273514032364,3745.18505859375,1302,246.0,0.036101698875427246,0,100,246.0,0.001,-12.437057495117188
1000,118399,-0.3865450620651245,7.740103319520131e-05,1300,263.3333333333333,0.986767053604126,0,200,263.3333333333333,0.001,0.002648675814270973
500,118499,-0.23929302394390106,2.66647657554131e-05,1302,248.0,0.9930283427238464,0,100,248.0,0.001,0.0004427713865879923
