time/total_timesteps,train/n_updates,train/loss,time/fps,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/learning_rate
290,57197,5.421739101409912,2710,-81.8172175,0.7114572864321608,4,0,72.5,0.001
638,57284,1.8006813526153564,2281,-59.35220125,0.3652060301507538,8,0,79.75,0.001
444,57460,1.968353271484375,2200,-61.462917,0.5582311557788946,4,0,111.0,0.001
341,57660,1.3099530935287476,2537,-87.765211,0.660713567839196,4,0,85.25,0.001
364,57890,3.4903244972229004,2620,-115.205035,0.6378291457286431,4,0,91.0,0.001
302,58100,2.05802059173584,2136,-85.08758575,0.6995175879396984,4,0,75.5,0.001
358,58339,1.3896958827972412,2447,-213.22165975000001,0.6437989949748744,4,0,89.5,0.001
436,58583,3.1667604446411133,2439,-100.06615149999999,0.5661909547738695,4,0,109.0,0.001
298,58774,0.645251989364624,2781,-78.66151450000001,0.7034974874371859,4,0,74.5,0.001
362,59015,1.7116520404815674,2217,-81.14630125000001,0.639819095477387,4,0,90.5,0.001
368,59241,0.4260643720626831,2625,-119.2791275,0.6338492462311558,4,0,92.0,0.001
352,59462,0.7793980836868286,2311,-166.840011,0.6497688442211056,4,0,88.0,0.001
798,59574,3.6536052227020264,2008,-94.00726262500001,0.20601005025125618,8,0,99.75,0.001
351,59687,0.6527824401855469,2546,-133.40790275,0.6507638190954774,4,0,87.75,0.001
359,59914,1.0680054426193237,2302,-122.83599225,0.6428040201005025,4,0,89.75,0.001
319,60129,0.7477969527244568,2626,-79.6168025,0.682603015075377,4,0,79.75,0.001
298,60349,1.8542412519454956,2772,-85.349389,0.7034974874371859,4,0,74.5,0.001
769,60467,0.6160436272621155,2116,-54.261458875,0.23486432160804016,8,0,96.125,0.001
334,60583,0.8081367611885071,2685,-209.65797675,0.667678391959799,4,0,83.5,0.001
367,60816,2.6330573558807373,2409,-86.49605799999999,0.6348442211055276,4,0,91.75,0.001
311,61027,1.039453148841858,2795,-58.325197249999995,0.6905628140703518,4,0,77.75,0.001
449,61287,2.144850492477417,2573,-144.29003025,0.5532562814070351,4,0,112.25,0.001
450,61512,0.9780585169792175,2434,-128.244258,0.5522613065326634,4,0,112.5,0.001
439,61734,1.2976043224334717,2529,-137.8185685,0.5632060301507538,4,0,109.75,0.001
428,61956,3.488994836807251,2376,-110.47894899999999,0.5741507537688443,4,0,107.0,0.001
509,62202,7.587323188781738,2245,-78.72717275,0.4935577889447237,4,0,127.25,0.001
419,62404,1.3763800859451294,2119,-78.92055125,0.5831055276381909,4,0,104.75,0.001
842,62510,2.1104187965393066,1977,-69.214062,0.16223115577889446,8,0,105.25,0.001
362,62615,1.6148324012756348,2909,-97.28129275,0.639819095477387,4,0,90.5,0.001
379,62844,3.550657272338867,2373,-105.1169555,0.6229045226130654,4,0,94.75,0.001
436,63083,1.1506582498550415,2265,-150.096359,0.5661909547738695,4,0,109.0,0.001
330,63282,0.6111068725585938,2162,-135.22356100000002,0.6716582914572864,4,0,82.5,0.001
749,63387,2.4105231761932373,1917,-82.22316925000001,0.2547638190954774,8,0,93.625,0.001
414,63528,2.3478450775146484,2233,-107.86566400000001,0.5880804020100503,4,0,103.5,0.001
370,63742,0.6313852667808533,2635,-101.55864250000002,0.6318592964824121,4,0,92.5,0.001
297,63949,0.7662926912307739,2561,-68.2368465,0.7044924623115578,4,0,74.25,0.001
999,64124,0.33182844519615173,1936,-32.34435537499999,0.01,8,0,124.875,0.001
421,64205,1.1790882349014282,2254,-79.05498225,0.5811155778894472,4,0,105.25,0.001
355,64413,0.8194660544395447,2759,-100.92024024999999,0.64678391959799,4,0,88.75,0.001
422,64655,0.39825907349586487,2487,-92.828855,0.5801206030150754,4,0,105.5,0.001
382,64870,1.711219072341919,2247,-104.64758375,0.6199195979899497,4,0,95.5,0.001
338,65084,0.601563572883606,2399,-148.21706874999998,0.6636984924623115,4,0,84.5,0.001
682,65170,1.9405605792999268,2064,-98.754408125,0.321427135678392,8,0,85.25,0.001
381,65320,1.239375114440918,2386,-85.100115,0.6209145728643215,4,0,95.25,0.001
355,65538,0.9894731044769287,2872,-70.42255025,0.64678391959799,4,0,88.75,0.001
425,65781,0.39286503195762634,2510,-106.5338625,0.5771356783919598,4,0,106.25,0.001
358,65989,5.026736736297607,2602,-160.5318105,0.6437989949748744,4,0,89.5,0.001
410,66227,0.8765050768852234,2392,-123.99522325,0.5920603015075377,4,0,102.5,0.001
430,66457,1.5662978887557983,2590,-117.79271125,0.5721608040201006,4,0,107.5,0.001
