time/total_timesteps,train/n_updates,train/entropy_loss,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/policy_loss
500,304699,-0.3471619486808777,0.10388252884149551,1229,-29.770306,0.9946202635765076,0,100,339.0,0.001,0.071729376912117
1000,304799,-0.15994808077812195,1.0259333848953247,1254,87.9526115,-0.15460586547851562,0,200,374.5,0.001,0.18690815567970276
500,304899,-0.2435932457447052,0.33985191583633423,1204,,0.4463638663291931,0,100,,0.001,-0.012906747870147228
1000,304999,-0.332043319940567,0.15050369501113892,1199,-35.468127,0.5424021482467651,0,200,1000.0,0.001,-0.02018631622195244
500,305099,-0.07150758057832718,0.15729482471942902,1260,,0.786750316619873,0,100,,0.001,-0.11830969899892807
1000,305199,-0.10227229446172714,0.08331955224275589,1263,-79.967063,0.8898834586143494,0,200,1000.0,0.001,-0.011384493671357632
500,305299,-0.013644663617014885,1.0529184341430664,1271,,0.4343838691711426,0,100,,0.001,-0.0015603970969095826
1000,305399,-0.16028325259685516,1.4387357234954834,1232,-90.265341,0.44815123081207275,0,200,1000.0,0.001,-0.04673284292221069
500,305499,-0.13130268454551697,3.597803831100464,1253,,0.5561506748199463,0,100,,0.001,1.1649324893951416
1000,305599,-0.10852615535259247,1.5325536727905273,1284,-74.042232,0.4807819724082947,0,200,1000.0,0.001,0.026515532284975052
500,305699,-0.5008459687232971,2.2922377586364746,1290,-67.381885,-2.562100648880005,0,100,428.0,0.001,-0.6676141023635864
1000,305799,-0.30134153366088867,0.09999637305736542,1277,-63.482269,0.9957913160324097,0,200,325.0,0.001,-0.2978685796260834
500,305899,-0.24867209792137146,7.627183437347412,1290,-108.329663,0.14577072858810425,0,100,307.0,0.001,0.8049899935722351
1000,305999,-0.1135273426771164,0.9588358998298645,1279,-108.329663,0.09156334400177002,0,200,307.0,0.001,0.01376805268228054
500,306099,-0.011404745280742645,0.025409379974007607,1272,,0.636507511138916,0,100,,0.001,8.746022649575025e-05
1000,306199,-0.24555382132530212,0.11015547811985016,1248,-100.534271,0.7370610237121582,0,200,1000.0,0.001,0.015154719352722168
500,306299,-0.11448889970779419,0.21405386924743652,1255,,0.9048296809196472,0,100,,0.001,0.01476550567895174
1000,306399,-0.14280180633068085,0.0201623123139143,1252,-44.133307,0.9843934774398804,0,200,1000.0,0.001,-0.0027432080823928118
500,306499,-0.20186595618724823,0.6488231420516968,1233,,0.3531303405761719,0,100,,0.001,-0.022207245230674744
1000,306599,-0.16470608115196228,6.199121952056885,1250,-5.882141,-1.159069538116455,0,200,1000.0,0.001,0.39127498865127563
500,306699,-0.1987060010433197,0.335594117641449,1173,,0.33189916610717773,0,100,,0.001,0.049719586968421936
1000,306799,-0.10539021342992783,0.10536219924688339,1215,-136.336341,0.9712666869163513,0,200,734.0,0.001,-0.0076743802055716515
500,306899,-0.5866564512252808,0.3989555239677429,1251,,-0.20101451873779297,0,100,,0.001,0.3073383867740631
1000,306999,-0.2120368778705597,0.8981820344924927,1278,53.4612335,0.15639591217041016,0,200,498.5,0.001,-0.06340336054563522
500,307099,-0.006417958997189999,5458.6103515625,1204,187.587749,-0.4457038640975952,0,100,493.0,0.001,0.00015135247667785734
1000,307199,-0.3765002191066742,0.4716988205909729,1211,57.6488415,0.8927479386329651,0,200,348.0,0.001,-0.3320654034614563
500,307299,-0.13172699511051178,0.506542444229126,1212,-76.20126450000001,0.9056366086006165,0,100,184.0,0.001,-0.0039347028359770775
1000,307399,-0.2021661102771759,2.149515151977539,1245,-76.20126450000001,0.35781222581863403,0,200,184.0,0.001,-0.28031760454177856
500,307499,-0.13305695354938507,0.5078674554824829,1180,-84.159821,0.9372014403343201,0,100,464.0,0.001,0.004163280129432678
1000,307599,-0.3451622724533081,0.03134334087371826,1217,-84.159821,0.9854906797409058,0,200,464.0,0.001,0.04697354882955551
500,307699,-0.0029372195713222027,0.20331844687461853,1249,,0.9169407486915588,0,100,,0.001,0.0001445444650016725
1000,307799,-0.15245012938976288,0.2831728458404541,1258,-38.079153,0.825236976146698,0,200,1000.0,0.001,-0.02804495394229889
