rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
0.6000201005025125,16,0,402,25.125,2833,25.125,3000,0.009189245291054249,0.001
0.5094773869346734,20,0,493,24.65,2674,24.65,3023,0.011140724644064903,0.001
0.43385929648241206,24,0,569,23.708333333333332,2632,23.708333333333332,3042,0.022834699600934982,0.001
0.36918592964824126,28,0,634,22.642857142857142,2540,22.642857142857142,3058,0.005730581935495138,0.001
0.3144623115577889,32,0,689,21.53125,2468,21.53125,3072,0.012172169983386993,0.001
0.2676984924623116,36,0,736,20.444444444444443,2494,20.444444444444443,3083,0.019140001386404037,0.001
0.20799999999999996,40,0,796,19.9,2439,19.9,3098,0.005549040623009205,0.001
0.14531658291457283,44,0,859,19.522727272727273,2299,19.522727272727273,3114,0.0006747219013050199,0.001
0.07865326633165826,48,0,926,19.291666666666668,2281,19.291666666666668,3131,0.021618008613586426,0.001
0.013979899497487458,52,0,991,19.057692307692307,2241,19.057692307692307,3147,0.008143852464854717,0.001
0.9134371859296483,4,0,87,21.75,18377,21.75,3150,0.007187587674707174,0.001
0.843788944723618,8,0,157,19.625,4694,19.625,3164,0.010782869532704353,0.001
0.7353366834170854,12,0,266,22.166666666666668,3256,22.166666666666668,3191,0.014881079085171223,0.001
0.6666834170854272,16,0,335,20.9375,2951,20.9375,3208,0.009572731330990791,0.001
0.5940502512562815,20,0,408,20.4,2769,20.4,3226,0.00965503416955471,0.001
0.4915678391959799,24,0,511,21.291666666666668,2592,21.291666666666668,3252,0.006235267501324415,0.001
0.38510552763819095,28,0,618,22.071428571428573,2474,22.071428571428573,3279,0.010875814594328403,0.001
0.3224221105527637,32,0,681,21.28125,2412,21.28125,3295,0.01595780998468399,0.001
0.264713567839196,36,0,739,20.52777777777778,2375,20.52777777777778,3309,0.0044508399441838264,0.001
0.17516582914572865,40,0,829,20.725,2301,20.725,3332,0.009717900305986404,0.001
0.101537688442211,44,0,903,20.522727272727273,2271,20.522727272727273,3350,0.008666208013892174,0.001
0.025919597989949694,48,0,979,20.395833333333332,2230,20.395833333333332,3369,0.011481004767119884,0.001
0.9313467336683418,4,0,69,17.25,34614,17.25,3375,0.013009216636419296,0.001
0.8447839195979899,8,0,156,19.5,5268,19.5,3388,0.0037119686603546143,0.001
0.7602110552763819,12,0,241,20.083333333333332,3347,20.083333333333332,3410,0.01449571456760168,0.001
0.6726532663316583,16,0,329,20.5625,3104,20.5625,3432,0.004480996169149876,0.001
